fid,samp,mass,vv,tlh,tdh,trh,path,t2,tmax,gear,replicate,mod,hi,NJ,may,jun,july,aug,year,time
1,1,0.1,3,3,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
2,1,0.01,3,3,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
3,1,0.001,3,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
4,1,0.0001,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
5,1,0.00001,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
6,1,0.000001,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
7,2,0.1,3,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1
8,2,0.01,3,3,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1
9,2,0.001,3,3,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1
10,2,0.0001,3,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1
11,2,0.00001,2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1
12,2,0.000001,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1
13,3,0.1,3,3,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1
14,3,0.01,3,3,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1
15,3,0.001,3,3,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1
16,3,0.0001,3,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1
17,3,0.00001,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1
18,3,0.000001,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1
19,4,0.1,3,3,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1
20,4,0.01,3,3,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1
21,4,0.001,3,3,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1
22,4,0.0001,3,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1
23,4,0.00001,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1
24,4,0.000001,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1
25,5,0.1,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
26,5,0.01,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
27,5,0.001,3,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
28,5,0.0001,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,5,0.00001,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
30,5,0.000001,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
31,6,0.1,3,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
32,6,0.01,3,3,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1
33,6,0.001,3,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
34,6,0.0001,3,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
35,6,0.00001,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
36,6,0.000001,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
37,7,0.1,3,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
38,7,0.01,3,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
39,7,0.001,3,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
40,7,0.0001,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
41,7,0.00001,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
42,7,0.000001,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
43,8,0.1,3,3,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1
44,8,0.01,3,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1
45,8,0.001,3,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1
46,8,0.0001,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1
47,8,0.00001,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1
48,8,0.000001,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1
49,9,0.1,3,3,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
50,9,0.01,3,3,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1
51,9,0.001,3,3,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
