fid,month,year,site.num,volume,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,,,,,,,,,,
1,4,2012,1,1,3,3,NaN,0,0,0,0,15,9,,,,,,,,,,
1,4,2012,1,0.1,3,2,NaN,0,0,0,0,15,9,,,,,,,,,,
1,4,2012,1,0.01,0,0,NaN,0,0,0,0,15,9,,,,,,,,,,
1,4,2012,1,0.001,0,0,NaN,0,0,0,0,15,9,,,,,,,,,,
1,4,2012,1,0.0001,0,0,NaN,0,0,0,0,15,9,,,,,,,,,,
2,4,2012,2,1,3,0,NaN,0,0,0,0,16,20,,,,,,,,,,
2,4,2012,2,0.1,3,1,NaN,0,0,0,0,16,20,,,,,,,,,,
2,4,2012,2,0.01,0,0,NaN,0,0,0,0,16,20,,,,,,,,,,
2,4,2012,2,0.001,0,0,NaN,0,0,0,0,16,20,,,,,,,,,,
2,4,2012,2,0.0001,0,0,NaN,0,0,0,0,16,20,,,,,,,,,,
2,4,2012,2,0.00001,0,0,NaN,0,0,0,0,16,20,,,,,,,,,,
2,4,2012,2,0.000001,0,0,NaN,0,0,0,0,16,20,,,,,,,,,,
3,4,2012,3,1,3,0,NaN,3,0,1,1,15,17,,,,,,,,,,
3,4,2012,3,0.1,3,0,NaN,2,2,0,2,15,17,,,,,,,,,,
3,4,2012,3,0.01,1,0,NaN,0,0,0,0,15,17,,,,,,,,,,
3,4,2012,3,0.001,0,0,NaN,0,0,0,0,15,17,,,,,,,,,,
4,5,2012,1,1,3,3,NaN,3,0,0,0,22,14,,,,,,,,,,
4,5,2012,1,0.1,3,3,NaN,3,0,1,1,22,14,,,,,,,,,,
4,5,2012,1,0.01,3,0,NaN,1,0,0,0,22,14,,,,,,,,,,
4,5,2012,1,0.001,0,0,NaN,0,0,0,0,22,14,,,,,,,,,,
4,5,2012,1,0.0001,0,0,NaN,0,0,0,0,22,14,,,,,,,,,,
4,5,2012,1,0.00001,0,0,NaN,0,0,0,0,22,14,,,,,,,,,,
4,5,2012,1,0.000001,0,0,NaN,0,0,0,0,22,14,,,,,,,,,,
5,5,2012,2,1,3,0,NaN,3,0,0,0,20,21,,,,,,,,,,
5,5,2012,2,0.1,3,0,NaN,0,0,0,0,20,21,,,,,,,,,,
5,5,2012,2,0.01,0,0,NaN,0,0,0,0,20,21,,,,,,,,,,
5,5,2012,2,0.001,0,0,NaN,0,0,0,0,20,21,,,,,,,,,,
5,5,2012,2,0.0001,0,0,NaN,0,0,0,0,20,21,,,,,,,,,,
5,5,2012,2,0.00001,0,0,NaN,0,0,0,0,20,21,,,,,,,,,,
5,5,2012,2,0.000001,0,0,NaN,0,0,0,0,20,21,,,,,,,,,,
6,5,2012,3,1,3,1,NaN,3,0,0,0,22,21,,,,,,,,,,
6,5,2012,3,0.1,3,0,NaN,0,0,0,0,22,21,,,,,,,,,,
6,5,2012,3,0.01,1,0,NaN,0,0,0,0,22,21,,,,,,,,,,
6,5,2012,3,0.001,0,0,NaN,0,0,0,0,22,21,,,,,,,,,,
6,5,2012,3,0.0001,0,0,NaN,0,0,0,0,22,21,,,,,,,,,,
6,5,2012,3,0.00001,0,0,NaN,0,0,0,0,22,21,,,,,,,,,,
6,5,2012,3,0.000001,0,0,NaN,0,0,0,0,22,21,,,,,,,,,,
7,6,2012,1,1,3,3,NaN,3,0,0,0,23,15,,,,,,,,,,
7,6,2012,1,0.1,3,3,NaN,3,0,0,0,23,15,,,,,,,,,,
7,6,2012,1,0.01,3,3,NaN,3,0,0,0,23,15,,,,,,,,,,
7,6,2012,1,0.001,0,0,NaN,0,0,0,0,23,15,,,,,,,,,,
7,6,2012,1,0.0001,0,0,NaN,0,0,0,0,23,15,,,,,,,,,,
7,6,2012,1,0.00001,0,0,NaN,0,0,0,0,23,15,,,,,,,,,,
7,6,2012,1,0.000001,0,0,NaN,0,0,0,0,23,15,,,,,,,,,,
8,6,2012,2,1,3,3,NaN,3,0,1,1,26,22,,,,,,,,,,
8,6,2012,2,0.1,3,3,NaN,2,0,0,0,26,22,,,,,,,,,,
8,6,2012,2,0.01,3,0,NaN,0,0,0,0,26,22,,,,,,,,,,
8,6,2012,2,0.001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
8,6,2012,2,0.0001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
8,6,2012,2,0.00001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
8,6,2012,2,0.000001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
9,6,2012,3,1,3,3,NaN,3,0,0,0,26,22,,,,,,,,,,
9,6,2012,3,0.1,3,3,NaN,3,0,0,0,26,22,,,,,,,,,,
9,6,2012,3,0.01,3,0,NaN,1,0,0,0,26,22,,,,,,,,,,
9,6,2012,3,0.001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
9,6,2012,3,0.0001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
9,6,2012,3,0.00001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
9,6,2012,3,0.000001,0,0,NaN,0,0,0,0,26,22,,,,,,,,,,
10,7,2012,1,1,3,3,2,3,0,0,0,28,15,,,,,,,,,,
10,7,2012,1,0.1,3,3,2,2,0,0,0,28,15,,,,,,,,,,
10,7,2012,1,0.01,3,1,0,0,0,0,0,28,15,,,,,,,,,,
10,7,2012,1,0.001,1,0,0,0,0,0,0,28,15,,,,,,,,,,
10,7,2012,1,0.0001,0,0,0,0,0,0,0,28,15,,,,,,,,,,
10,7,2012,1,0.00001,0,0,0,0,0,0,0,28,15,,,,,,,,,,
10,7,2012,1,0.000001,0,0,0,0,0,0,0,28,15,,,,,,,,,,
11,7,2012,2,1,3,3,3,3,0,0,0,29,24,,,,,,,,,,
11,7,2012,2,0.1,3,3,2,3,0,0,0,29,24,,,,,,,,,,
11,7,2012,2,0.01,3,1,0,1,0,0,0,29,24,,,,,,,,,,
11,7,2012,2,0.001,3,0,0,0,0,0,0,29,24,,,,,,,,,,
11,7,2012,2,0.0001,0,0,0,0,0,0,0,29,24,,,,,,,,,,
11,7,2012,2,0.00001,0,0,0,0,0,0,0,29,24,,,,,,,,,,
11,7,2012,2,0.000001,0,0,0,0,0,0,0,29,24,,,,,,,,,,
12,7,2012,3,1,3,3,3,3,0,0,0,28,15,,,,,,,,,,
