count,fid.old,fid,month,year,site.num,volume,turb,vvha,pilf,tlh,tdh,trh,temp,sal
59,10,1,7,2012,1,1,3,3,2,3,0,0,28,15
60,10,1,7,2012,1,0.1,3,3,2,2,0,0,28,15
61,10,1,7,2012,1,0.01,3,1,0,0,0,0,28,15
62,10,1,7,2012,1,0.001,1,0,0,0,0,0,28,15
63,10,1,7,2012,1,0.0001,0,0,0,0,0,0,28,15
64,10,1,7,2012,1,0.00001,0,0,0,0,0,0,28,15
65,10,1,7,2012,1,0.000001,0,0,0,0,0,0,28,15
66,11,2,7,2012,2,1,3,3,3,3,0,0,29,24
67,11,2,7,2012,2,0.1,3,3,2,3,0,0,29,24
68,11,2,7,2012,2,0.01,3,1,0,1,0,0,29,24
69,11,2,7,2012,2,0.001,3,0,0,0,0,0,29,24
70,11,2,7,2012,2,0.0001,0,0,0,0,0,0,29,24
71,11,2,7,2012,2,0.00001,0,0,0,0,0,0,29,24
72,11,2,7,2012,2,0.000001,0,0,0,0,0,0,29,24
73,12,3,7,2012,3,1,3,3,3,3,0,0,28,15
74,12,3,7,2012,3,0.1,3,2,2,1,0,0,28,15
75,12,3,7,2012,3,0.01,2,1,0,0,0,0,28,15
76,12,3,7,2012,3,0.001,0,0,0,0,0,0,28,15
77,12,3,7,2012,3,0.0001,0,0,0,0,0,0,28,15
78,12,3,7,2012,3,0.00001,0,0,0,0,0,0,28,15
79,12,3,7,2012,3,0.000001,0,0,0,0,0,0,28,15
101,16,4,9,2012,1,1,3,3,3,3,0,0,26,14
102,16,4,9,2012,1,0.1,3,3,0,2,0,0,26,14
103,16,4,9,2012,1,0.01,1,0,0,0,0,0,26,14
104,16,4,9,2012,1,0.001,0,0,0,0,0,0,26,14
105,16,4,9,2012,1,0.0001,0,0,0,0,0,0,26,14
106,16,4,9,2012,1,0.00001,0,0,0,0,0,0,26,14
107,16,4,9,2012,1,0.000001,0,0,0,0,0,0,26,14
108,17,5,9,2012,2,1,3,3,3,3,2,0,25,22
109,17,5,9,2012,2,0.1,3,2,1,3,0,0,25,22
110,17,5,9,2012,2,0.01,3,1,1,3,0,0,25,22
111,17,5,9,2012,2,0.001,2,0,0,2,0,0,25,22
112,17,5,9,2012,2,0.0001,1,0,0,1,0,0,25,22
113,17,5,9,2012,2,0.00001,1,0,0,0,0,0,25,22
114,17,5,9,2012,2,0.000001,0,0,0,0,0,0,25,22
115,18,6,9,2012,3,1,3,3,2,3,0,0,24,20
116,18,6,9,2012,3,0.1,3,0,0,1,0,0,24,20
117,18,6,9,2012,3,0.01,3,0,0,0,0,0,24,20
118,18,6,9,2012,3,0.001,0,0,0,0,0,0,24,20
119,18,6,9,2012,3,0.0001,0,0,0,0,0,0,24,20
120,18,6,9,2012,3,0.00001,0,0,0,0,0,0,24,20
121,18,6,9,2012,3,0.000001,0,0,0,0,0,0,24,20
122,19,7,10,2012,1,1,3,3,3,3,0,0,18,15
123,19,7,10,2012,1,0.1,3,2,1,2,0,0,18,15
124,19,7,10,2012,1,0.01,2,0,0,0,0,0,18,15
125,19,7,10,2012,1,0.001,1,0,0,0,0,0,18,15
126,19,7,10,2012,1,0.0001,0,0,0,0,0,0,18,15
127,19,7,10,2012,1,0.00001,0,0,0,0,0,0,18,15
128,19,7,10,2012,1,0.000001,0,0,0,0,0,0,18,15
129,20,8,10,2012,2,1,3,3,2,3,0,0,20,21
130,20,8,10,2012,2,0.1,3,1,1,1,0,0,20,21
131,20,8,10,2012,2,0.01,3,0,0,0,0,0,20,21
132,20,8,10,2012,2,0.001,3,0,0,0,0,0,20,21
133,20,8,10,2012,2,0.0001,0,0,0,0,0,0,20,21
134,20,8,10,2012,2,0.00001,0,0,0,0,0,0,20,21
135,20,8,10,2012,2,0.000001,0,0,0,0,0,0,20,21
136,21,9,10,2012,3,1,3,2,2,2,0,0,22,21
137,21,9,10,2012,3,0.1,3,1,0,1,0,0,22,21
138,21,9,10,2012,3,0.01,2,0,0,0,0,0,22,21
139,21,9,10,2012,3,0.001,0,0,0,0,0,0,22,21
140,21,9,10,2012,3,0.0001,0,0,0,0,0,0,22,21
141,21,9,10,2012,3,0.00001,0,0,0,0,0,0,22,21
142,21,9,10,2012,3,0.000001,0,0,0,0,0,0,22,21
157,24,10,4,2014,1,1,3,0,0,0,0,0,14,11
158,24,10,4,2014,1,0.1,3,1,0,0,0,0,14,11
159,24,10,4,2014,1,0.01,1,0,0,0,0,0,14,11
160,24,10,4,2014,1,0.001,0,0,0,0,0,0,14,11
161,24,10,4,2014,1,0.0001,0,0,0,0,0,0,14,11
162,24,10,4,2014,1,0.00001,0,0,0,0,0,0,14,11
163,25,11,4,2014,2,1,3,0,0,0,0,0,15,19
164,25,11,4,2014,2,0.1,3,0,0,0,0,0,15,19
165,25,11,4,2014,2,0.01,1,0,0,0,0,0,15,19
166,25,11,4,2014,2,0.001,0,0,0,0,0,0,15,19
167,25,11,4,2014,2,0.0001,0,0,0,0,0,0,15,19
168,25,11,4,2014,2,0.00001,0,0,0,0,0,0,15,19
169,26,12,4,2014,4,1,3,0,0,0,0,0,14,34
170,26,12,4,2014,4,0.1,0,0,0,0,0,0,14,34
171,26,12,4,2014,4,0.01,0,0,0,0,0,0,14,34
172,26,12,4,2014,4,0.001,0,0,0,0,0,0,14,34
173,26,12,4,2014,4,0.0001,0,0,0,0,0,0,14,34
174,26,12,4,2014,4,0.00001,0,0,0,0,0,0,14,34
175,27,13,5,2014,1,1,3,0,0,0,0,0,18,8
176,27,13,5,2014,1,0.1,3,0,0,0,0,0,18,8
177,27,13,5,2014,1,0.01,0,0,0,0,0,0,18,8
178,27,13,5,2014,1,0.001,0,0,0,0,0,0,18,8
179,27,13,5,2014,1,0.0001,0,0,0,0,0,0,18,8
180,27,13,5,2014,1,0.00001,0,0,0,0,0,0,18,8
181,28,14,5,2014,2,1,3,0,0,0,0,0,16,13
182,28,14,5,2014,2,0.1,3,0,0,0,0,0,16,13
183,28,14,5,2014,2,0.01,3,0,0,0,0,0,16,13
184,28,14,5,2014,2,0.001,0,0,0,0,0,0,16,13
185,28,14,5,2014,2,0.0001,0,0,0,0,0,0,16,13
186,28,14,5,2014,2,0.00001,0,0,0,0,0,0,16,13
187,29,15,5,2014,4,1,3,0,0,0,0,0,16,34
188,29,15,5,2014,4,0.1,0,0,0,0,0,0,16,34
189,29,15,5,2014,4,0.01,0,0,0,0,0,0,16,34
190,29,15,5,2014,4,0.001,0,0,0,0,0,0,16,34
191,29,15,5,2014,4,0.0001,0,0,0,0,0,0,16,34
192,29,15,5,2014,4,0.00001,0,0,0,0,0,0,16,34
193,30,16,5,2014,1,1,3,3,2,0,0,0,21,7
194,30,16,5,2014,1,0.1,3,2,1,0,0,0,21,7
195,30,16,5,2014,1,0.01,2,2,0,0,0,0,21,7
196,30,16,5,2014,1,0.001,0,0,0,0,0,0,21,7
197,30,16,5,2014,1,0.0001,0,0,0,0,0,0,21,7
198,30,16,5,2014,1,0.00001,0,0,0,0,0,0,21,7
199,31,17,5,2014,2,1,3,3,2,3,1,0,21,17
200,31,17,5,2014,2,0.1,3,1,0,2,0,0,21,17
201,31,17,5,2014,2,0.01,1,1,0,1,0,0,21,17
202,31,17,5,2014,2,0.001,0,0,0,0,0,0,21,17
203,31,17,5,2014,2,0.0001,0,0,0,0,0,0,21,17
204,31,17,5,2014,2,0.00001,0,0,0,0,0,0,21,17
205,32,18,5,2014,4,1,3,0,0,3,2,0,19,32
206,32,18,5,2014,4,0.1,3,0,0,2,1,0,19,32
207,32,18,5,2014,4,0.01,3,0,0,0,0,0,19,32
208,32,18,5,2014,4,0.001,0,0,0,0,0,0,19,32
209,32,18,5,2014,4,0.0001,0,0,0,0,0,0,19,32
210,32,18,5,2014,4,0.00001,0,0,0,0,0,0,19,32
211,33,19,6,2014,1,1,3,3,3,0,0,0,22,7
212,33,19,6,2014,1,0.1,3,3,3,0,0,0,22,7
213,33,19,6,2014,1,0.01,3,1,0,0,0,0,22,7
214,33,19,6,2014,1,0.001,1,0,0,0,0,0,22,7
215,33,19,6,2014,1,0.0001,0,0,0,0,0,0,22,7
216,33,19,6,2014,1,0.00001,0,0,0,0,0,0,22,7
217,34,20,6,2014,2,1,3,3,3,3,2,0,26,16
218,34,20,6,2014,2,0.1,3,2,2,3,0,0,26,16
219,34,20,6,2014,2,0.01,3,0,0,0,0,0,26,16
220,34,20,6,2014,2,0.001,3,0,0,0,0,0,26,16
221,34,20,6,2014,2,0.0001,1,2,1,1,0,0,26,16
222,34,20,6,2014,2,0.00001,0,0,0,0,0,0,26,16
223,35,21,6,2014,4,1,3,0,0,2,1,0,24,30
224,35,21,6,2014,4,0.1,3,1,0,1,0,0,24,30
225,35,21,6,2014,4,0.01,0,0,0,0,0,0,24,30
226,35,21,6,2014,4,0.001,0,0,0,0,0,0,24,30
227,35,21,6,2014,4,0.0001,0,0,0,0,0,0,24,30
228,35,21,6,2014,4,0.00001,0,0,0,0,0,0,24,30
229,36,22,6,2014,1,1,3,3,3,1,0,0,27,10
230,36,22,6,2014,1,0.1,3,3,2,1,0,0,27,10
231,36,22,6,2014,1,0.01,3,3,1,0,0,0,27,10
232,36,22,6,2014,1,0.001,1,1,0,0,0,0,27,10
233,36,22,6,2014,1,0.0001,0,0,0,0,0,0,27,10
234,36,22,6,2014,1,0.00001,0,0,0,0,0,0,27,10
235,37,23,6,2014,2,1,3,3,3,3,2,1,28,20
236,37,23,6,2014,2,0.1,3,3,2,3,1,0,28,20
237,37,23,6,2014,2,0.01,3,0,0,2,0,1,28,20
238,37,23,6,2014,2,0.001,3,1,0,1,0,0,28,20
239,37,23,6,2014,2,0.0001,0,0,0,0,0,0,28,20
240,37,23,6,2014,2,0.00001,0,0,0,0,0,0,28,20
241,38,24,6,2014,4,1,3,1,1,3,1,1,27,34
242,38,24,6,2014,4,0.1,3,0,0,3,0,0,27,34
243,38,24,6,2014,4,0.01,3,0,0,0,0,0,27,34
244,38,24,6,2014,4,0.001,2,0,0,0,0,0,27,34
245,38,24,6,2014,4,0.0001,1,1,1,0,0,0,27,34
246,38,24,6,2014,4,0.00001,0,0,0,0,0,0,27,34
247,39,25,7,2014,1,1,3,3,3,3,0,0,27,10
248,39,25,7,2014,1,0.1,3,3,2,2,0,0,27,10
249,39,25,7,2014,1,0.01,3,3,2,0,0,0,27,10
250,39,25,7,2014,1,0.001,0,0,0,0,0,0,27,10
251,39,25,7,2014,1,0.0001,0,0,0,0,0,0,27,10
252,39,25,7,2014,1,0.00001,0,0,0,0,0,0,27,10
253,40,26,7,2014,2,1,3,3,3,3,0,1,26,19
254,40,26,7,2014,2,0.1,3,3,3,3,0,0,26,19
255,40,26,7,2014,2,0.01,3,0,0,1,0,0,26,19
256,40,26,7,2014,2,0.001,2,0,0,0,0,0,26,19
257,40,26,7,2014,2,0.0001,0,0,0,0,0,0,26,19
258,40,26,7,2014,2,0.00001,0,0,0,0,0,0,26,19
259,41,27,7,2014,4,1,3,0,0,3,0,1,26,34
260,41,27,7,2014,4,0.1,3,0,0,3,0,0,26,34
261,41,27,7,2014,4,0.01,1,0,0,0,0,0,26,34
262,41,27,7,2014,4,0.001,0,0,0,0,0,0,26,34
263,41,27,7,2014,4,0.0001,0,0,0,0,0,0,26,34
264,41,27,7,2014,4,0.00001,0,0,0,0,0,0,26,34
265,42,28,7,2014,1,1,3,3,3,3,0,0,27,12
266,42,28,7,2014,1,0.1,3,3,0,2,0,0,27,12
267,42,28,7,2014,1,0.01,3,2,0,1,0,0,27,12
