fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,water.plif,water.tlh,water.path
1,7,2012,1,1,1.00E-01,3,3,3,3,0,1,1,28,15,67.35027885,2.553177786,NA,NA
1,7,2012,1,1,1.00E-02,3,3,3,3,0,0,0,28,15,67.04107448,12.95674534,NA,NA
1,7,2012,1,1,1.00E-03,3,3,3,3,0,0,0,28,15,18.84912963,12.94110081,NA,NA
1,7,2012,1,1,1.00E-04,3,3,2,2,0,0,0,28,15,36.34234071,3.615091504,NA,NA
1,7,2012,1,1,1.00E-05,3,1,0,1,0,0,0,28,15,19.00178021,10.18101023,NA,NA
1,7,2012,1,1,1.00E-06,0,0,0,0,0,0,0,28,15,3.664880178,1.270527995,NA,NA
1,7,2012,1,1,1.00E-07,0,0,0,0,0,0,0,28,15,13.01721002,6.802389469,NA,NA
2,7,2012,1,1,1.00E-01,3,3,3,3,0,0,0,28,15,1.907774397,1.289960156,NA,NA
2,7,2012,1,1,1.00E-02,3,3,3,3,0,0,0,28,15,0.539042565,0.310120015,NA,NA
2,7,2012,1,1,1.00E-03,3,3,3,3,0,0,0,28,15,0.308040869,0.315395163,NA,NA
2,7,2012,1,1,1.00E-04,3,3,0,1,0,0,0,28,15,0.300645615,0.302848348,NA,NA
2,7,2012,1,1,1.00E-05,2,0,0,1,0,0,0,28,15,0.31133008,0.309323978,NA,NA
2,7,2012,1,1,1.00E-06,1,0,1,0,0,0,0,28,15,0.310546719,0.308291685,NA,NA
2,7,2012,1,1,1.00E-07,0,0,0,0,0,0,0,28,15,0.31018941,0.307727239,NA,NA
3,7,2012,1,1,1.00E-01,3,3,3,3,0,0,0,28,15,25.57243951,1.903115772,NA,NA
3,7,2012,1,1,1.00E-02,3,3,3,3,0,0,0,28,15,10.05881141,1.293653228,NA,NA
3,7,2012,1,1,1.00E-03,3,3,3,3,0,0,0,28,15,0.311781564,0.322426893,NA,NA
3,7,2012,1,1,1.00E-04,3,3,1,1,0,0,0,28,15,66.50158995,36.02818479,NA,NA
3,7,2012,1,1,1.00E-05,3,2,0,0,0,0,0,28,15,24.16886867,18.50853184,NA,NA
3,7,2012,1,1,1.00E-06,1,1,0,0,0,0,0,28,15,0.539654578,0.310304877,NA,NA
3,7,2012,1,1,1.00E-07,1,1,0,0,0,0,0,28,15,675.5693542,18.91719147,NA,NA
4,7,2012,1,1,1.00E-01,3,3,3,3,0,0,0,28,15,57.05124468,12.96246694,NA,NA
4,7,2012,1,1,1.00E-02,3,3,3,3,0,0,0,28,15,0.974505139,0.986697303,NA,NA
4,7,2012,1,1,1.00E-03,3,3,3,3,0,1,1,28,15,362.8587824,25.7727309,NA,NA
4,7,2012,1,1,1.00E-04,3,3,0,0,0,0,0,28,15,36.54704575,36.9738788,NA,NA
4,7,2012,1,1,1.00E-05,1,0,0,0,0,0,0,28,15,0.307684448,0.308389443,NA,NA
4,7,2012,1,1,1.00E-06,1,0,0,0,0,0,0,28,15,189.8008671,3.659162022,NA,NA
4,7,2012,1,1,1.00E-07,0,0,0,0,0,0,0,28,15,258.3922755,142.2921528,NA,NA
5,7,2012,2,2,1.00E-01,3,3,3,3,1,2,2,29,24,0.618073573,0.309893955,NA,NA
5,7,2012,2,2,1.00E-02,3,3,3,3,0,0,0,29,24,101.5815777,12.86972555,NA,NA
5,7,2012,2,2,1.00E-03,3,3,3,3,0,0,0,29,24,18.96716134,1.279114455,NA,NA
5,7,2012,2,2,1.00E-04,3,1,1,3,0,0,0,29,24,1.389330579,0.310863203,NA,NA
5,7,2012,2,2,1.00E-05,3,0,0,3,0,0,0,29,24,102.3356927,102.2862011,NA,NA
5,7,2012,2,2,1.00E-06,0,0,0,0,0,0,0,29,24,127.9308862,67.35677139,NA,NA
5,7,2012,2,2,1.00E-07,0,0,0,0,0,0,0,29,24,0.620800326,0.310286219,NA,NA
6,7,2012,2,2,1.00E-01,3,3,3,3,0,1,1,29,24,191.4350177,58.41381337,NA,NA
6,7,2012,2,2,1.00E-02,3,3,3,3,0,1,1,29,24,190.4259013,5.740644808,NA,NA
6,7,2012,2,2,1.00E-03,3,3,2,3,0,0,0,29,24,0.533088568,0.305279085,NA,NA
6,7,2012,2,2,1.00E-04,3,2,2,3,0,0,0,29,24,13237.976,1016.310683,NA,NA
6,7,2012,2,2,1.00E-05,1,0,0,0,0,0,0,29,24,669.0212706,101.6063251,NA,NA
6,7,2012,2,2,1.00E-06,0,0,0,0,0,0,0,29,24,1.762882928,0.531584173,NA,NA
6,7,2012,2,2,1.00E-07,0,0,0,0,0,0,0,29,24,6875.466944,1009.758042,NA,NA
7,7,2012,2,2,1.00E-01,3,3,3,3,0,3,3,29,24,36.7114436,6.791486894,NA,NA
7,7,2012,2,2,1.00E-02,3,3,3,3,2,2,2,29,24,36.45295116,6.627426247,NA,NA
7,7,2012,2,2,1.00E-03,3,3,3,3,1,0,1,29,24,55805.96902,6798.189808,NA,NA
7,7,2012,2,2,1.00E-04,3,3,3,3,0,0,0,29,24,261.5574683,2.42343593,NA,NA
7,7,2012,2,2,1.00E-05,3,1,0,3,0,0,0,29,24,0.30122752,0.302529714,NA,NA
7,7,2012,2,2,1.00E-06,1,0,0,0,0,0,0,29,24,36.58928486,1.307506887,NA,NA
7,7,2012,2,2,1.00E-07,0,0,0,0,0,0,0,29,24,9.884848441,1.872360124,NA,NA
8,7,2012,2,2,1.00E-01,3,3,3,3,0,0,0,29,24,0.535442107,0.308872394,NA,NA
8,7,2012,2,2,1.00E-02,3,3,3,3,0,0,0,29,24,0.306671297,0.300837098,NA,NA
8,7,2012,2,2,1.00E-03,3,3,3,3,0,0,0,29,24,0.538096157,0.309540661,NA,NA
8,7,2012,2,2,1.00E-04,3,2,1,3,0,0,0,29,24,0.532851482,0.545365102,NA,NA
8,7,2012,2,2,1.00E-05,3,0,0,2,0,0,0,29,24,0.303981481,0.305070244,NA,NA
8,7,2012,2,2,1.00E-06,0,0,0,0,0,0,0,29,24,0.311057715,0.305661323,NA,NA
8,7,2012,2,2,1.00E-07,0,0,0,0,0,0,0,29,24,0.305666262,0.311963937,NA,NA
9,7,2012,3,3,1.00E-01,3,3,3,3,0,1,1,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-02,3,3,3,3,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-03,3,3,0,3,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-04,2,1,0,1,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-05,1,0,0,0,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-06,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
